FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;"VAL ESTAT";ADQNIF;ERRO
INTRA-EX;202403;513881387;MS100219-8;85111000;AT;PT;10;EXW;11;3;;2,3;1,000;377;;QV999999999999;
INTRA-EX;202403;513881387;FMINDTTS;84213100;AT;PT;10;EXW;11;3;;5;1,000;315;;QV999999999999;
INTRA-EX;202403;513881387;06K103495AC;87089997;SE;PT;10;EXW;11;3;;0,6;1,000;30;;QV999999999999;
INTRA-EX;202403;513881387;BH-304;84213100;BG;PT;10;EXW;11;3;;0,4;2,000;141;;QV999999999999;
INTRA-EX;202403;513881387;KWM074;87088055;DK;PT;10;EXW;11;3;;0,1;1,000;4;;QV999999999999;
INTRA-EX;202403;513881387;R7437-8-4;84099100;DK;PT;10;EXW;11;3;;0,2;1,000;146;;QV999999999999;
INTRA-EX;202403;513881387;RBF600;27101999;DK;PT;10;EXW;11;3;;0,6;2,000;18;;QV999999999999;
INTRA-EX;202403;513881387;06K103495AC;87089997;IE;PT;10;EXW;11;3;;0,6;1,000;31;;QV999999999999;
INTRA-EX;202403;513881387;SILZKBR8D8S-8;85111000;CY;PT;10;EXW;11;3;;0,4;1,000;83;;QV999999999999;
INTRA-EX;202403;513881387;R23-1-1100-01;40091100;CY;PT;10;EXW;11;3;;0,2;1,000;84;;QV999999999999;
INTRA-EX;202403;513881387;FMCTMK6;87089235;SI;PT;10;EXW;11;3;;1,4;1,000;317;;QV999999999999;
INTRA-EX;202403;513881387;06E898001-4;85111000;LU;PT;10;EXW;11;3;;1,2;1,000;107;;QV999999999999;
INTRA-EX;202403;513881387;AC-45-TB;84198998;GR;PT;10;EXW;11;3;;0,3;1,000;69;;GREL115989483;
INTRA-EX;202403;513881387;AC-45-DP;87089235;GR;PT;10;EXW;11;3;;7;2,000;461;;GREL115989483;
INTRA-EX;202403;513881387;E10-20-052-03-22;87088035;RO;PT;10;EXW;11;3;;11,3;1,000;220;;QV999999999999;
INTRA-EX;202403;513881387;D136-A001;87089997;RO;PT;10;EXW;11;3;;0,4;1,000;49;;QV999999999999;
INTRA-EX;202403;513881387;034-504-Z013;87089997;GR;PT;10;EXW;11;3;;1;1,000;174;;GREL036257558;
INTRA-EX;202403;513881387;R7437-9-5;85111000;GR;PT;10;EXW;11;3;;0,3;1,000;196;;GREL036257558;
INTRA-EX;202403;513881387;06D115562;84099100;GR;PT;10;EXW;11;3;;0,1;5,000;23;;GREL036257558;
INTRA-EX;202403;513881387;VWR120010;40091100;PL;PT;10;EXW;11;3;;1,4;2,000;357;;PL8141683531;
INTRA-EX;202403;513881387;MMHOSE-AUD-TBBK;40091100;PL;PT;10;EXW;11;3;;0,2;2,000;55;;PL8141683531;
INTRA-EX;202403;513881387;MMHOSE-AUD-TBRD;40091100;PL;PT;10;EXW;11;3;;0,2;2,000;55;;PL8141683531;
INTRA-EX;202403;513881387;VWR12G7R600ITBLA;84213100;BE;PT;10;EXW;11;3;;0,8;1,000;76;;BE0670639687;
INTRA-EX;202403;513881387;AC-S55-DP;87089235;BE;PT;10;EXW;11;3;;5,4;1,000;219;;BE0740963105;
INTRA-EX;202403;513881387;AC-500-VRH-BK;40093100;BE;PT;10;EXW;11;3;;0,2;1,000;19;;BE0598606497;
