REFERENCE;QUANTITY;"WHOLESALE PRICE";TOTAL
000827.999980;1;374.0184;374.0184
001002433;1;91.6432;91.6432
001243.999532;2;355.9374;711.8748
001243.999533;2;374.535;749.07
001243.999978;3;367.8192;1103.4576
001267.001683;2;318.7422;637.4844
001394.001735;2;357.4872;714.9744
001394.999502;9;345.6054;3110.4486
001394.999505;3;368.8524;1106.5572
001394.999529;1;317.34;317.34
001394.999998;2;345.6054;691.2108
001422.999502;4;345.6054;1382.4216
001422.999505;3;368.8524;1106.5572
001423.000685;1;338.373;338.373
001939.001707;2;323.3916;646.7832
002352.999502;3;345.6054;1036.8162
002352.999505;3;368.8524;1106.5572
005001005;3;398.6266;1195.8798
005EA14139;4;239.4154;957.6616
005EP17148;2;422.956;845.912
005EP171484;3;216.0864;648.2592
011EM16134;2;266.0162;532.0324
015BR16529;2;223.1712;446.3424
015BS16138;1;216.0864;216.0864
016CA17146;3;266.0162;798.0486
022103483E;17;4.92;83.64
U5020;48;16.0802;771.8496
028CC14133;3;216.0864;648.2592
028CF19151;2;239.4154;478.8308
032CK21144;2;216.0864;432.1728
033CO14133;1;281.9734;281.9734
033CS17136;2;266.0162;532.0324
033CV17144;1;399.0202;399.0202
034-101-3051;8;10.0778;80.6224
034-101-3066;10;15.826;158.26
034-102-3010;3;18.7124;56.1372
034-106-3039;9;239.85;2158.65
034-108-1005;6;316.602;1899.612
034-108-1011;6;198.03;1188.18
034-108-1014;3;450.918;1352.754
034-108-1015;5;429.3356;2146.678
034-108-1020;2;332.428;664.856
034-108-1033;1;429.3356;429.3356
034-108-1040;3;333.3874;1000.1622
034-108-1044;5;189.4856;947.428
034-108-3008;2;51.66;103.32
034-108-5000;1;358.34;358.34
034-108-Z055;2;75.7926;151.5852
034-145-A028-BLK;3;45.838;137.514
034-145-A059;5;83.4678;417.339
034-145-Z049;5;49.6756;248.378
034-1ZZ-0001;10;120.8844;1208.844
034-1ZZ-0002;7;56.1208;392.8456
034-1ZZ-0009;4;167.895;671.58
034-1ZZ-1003;3;151.1096;453.3288
034-1ZZ-1004;2;155.9066;311.8132
034-301-1007;1;422.136;422.136
034-301-2009;3;572.0484;1716.1452
034-301-2010;1;388.557;388.557
034-401-1006;5;239.85;1199.25
034-402-4005;1;93.5456;93.5456
034-407-1006;1;131.9216;131.9216
034-504-Z013;9;119.925;1079.325
034-504-Z022;2;43.173;86.346
034-506-0012;1;62.361;62.361
034-509-4000;2;41.2542;82.5084
034-601-0039;3;65.7148;197.1444
034-603-0008;1;277.2666;277.2666
034-604-0001-AN;4;369;1476
034-605-0022;3;64.7636;194.2908
039DD21131;2;266.0162;532.0324
03H971921;667;3.936;2625.312
03K906051;52;4.018;208.936
043151.000388;1;32.5458;32.5458
043151.271937;1;30.996;30.996
043DQ14144;11;266.0162;2926.1782
043DQ17144N;6;239.4154;1436.4924
043DR14164;1;359.119;359.119
044DW21143;4;292.535;1170.14
058129717D;26;1.066;27.716
058198025A;45;2.009;90.405
058253039L;61;0.697;42.517
06A115561B;33;1.968;64.944
06D115562;127;1.23;156.21
06D998907;205;0.861;176.505
U5014;304;14.8748;4521.9392
06F103483D;41;2.05;84.05
06F103483E;39;0.656;25.584
06F129101P;40;7.544;301.76
06F129717D;60;1.476;88.56
06F253039F;66;0.902;59.532
06J103600AF;1;6.56;6.56
06J998907A;20;0.861;17.22
06K103484F;27;1.517;40.959
06K103495AC;24;10.25;246
06K129717A;14;1.476;20.664
06L115441;129;0.779;100.491
06L253039C;5;2.87;14.35
078198025;1;2.706;2.706
078253039G;33;1.476;48.708
079133074B;27;3.28;88.56
0W20;13;17.7202;230.3626
0W40;24;17.7202;425.2848
1-101s;30;9.389;281.67
10.127.100K;73;137.9814;10072.6422
10.127.101K;17;162.3354;2759.7018
10.127.101TK;50;5.535;276.75
10.127.113K;15;162.3354;2435.031
10.127.113T;6;11.07;66.42
10.127.203K;74;137.9814;10210.6236
10.127.203T;37;5.8712;217.2344
105777;16;9.2004;147.2064
"10W40 -YT";4;7.3308;29.3232
11001-KT001;1;2508.38;2508.38
11002BK;429;1.9762;847.7898
11003-AN015;1;6153.075;6153.075
11003-AN018;1;1584.24;1584.24
11004-AM008;1;1361.4542;1361.4542
110282;8;5.7154;45.7232
11127565284;2;77.9;155.8
11127565286;2;3.321;6.642
11127570292;2;72.16;144.32
1118BLK;14;11.3406;158.7684
11427566327;94;1.23;115.62
12001-AH010;1;3253.35;3253.35
12001-AN008;1;3253.35;3253.35
12001-AT012;3;2904.44;8713.32
12001-KZ001;1;3545.68;3545.68
13001-AH004;1;547.883;547.883
13001-AM004;1;858.13;858.13
13001-AM005;1;858.13;858.13
13001-AN012;1;468.671;468.671
13001-AN015;1;1914.29;1914.29
13001-AT008;2;940.6466;1881.2932
13008-AN002;1;1287.195;1287.195
13270-8J102;46;1.23;56.58
13270-8j112;46;1.23;56.58
14007-AM003;2;180.3508;360.7016
14007-AN003;1;282.9;282.9
14011-AF001;2;88.4042;176.8084
14011-AT001;1;173.2742;173.2742
14018-AN004;2;475.272;950.544
14019-AF002;2;382.858;765.716
14019-AM002;1;567.686;567.686
14030-AN001;2;290.444;580.888
14035-8J101;45;2.296;103.32
14035-JP00A;51;2.624;133.824
14036-AG010;22;3.116;68.552
1407-RA015;4;88.4042;353.6168
14079-6;3;478.9046;1436.7138
1419-RF001;2;726.11;1452.22
15004-AH004;1;588.432;588.432
15004-AM010;1;452.64;452.64
15004-AN024;1;509.22;509.22
15004-AT010;1;417.2734;417.2734
15999-AM001;5;37.4822;187.411
1928404687;7;16.81;117.67
1C2017F;1;70.6102;70.6102
1C2492R;2;248.4436;496.8872
1C2492TP;1;156.9152;156.9152
1C7536A;1;120.704;120.704
1CCVW08F02;2;94.956;189.912
1CCVW08F04;8;169.74;1357.92
1CCVW08F041-;7;84.87;594.09
1J0121407E;18;4.1;73.8
1J0201511A;32;1.804;57.728
1J0253115A;3;1.066;3.198
1J0819644A;44;2.46;108.24
1K0121407A;32;3.28;104.96
1K0253144AE;26;3.28;85.28
1K0253144BD;117;4.018;470.106
1K1819653B;45;2.706;121.77
200001003;1;362.9894;362.9894
200001028;1;335.9212;335.9212
200001032;2;369.9594;739.9188
200001045;1;390.32;390.32
200001049;1;369.9594;369.9594
200001052;1;480.9054;480.9054
200001054;3;480.9054;1442.7162
200001060;1;423.0216;423.0216
200001068;1;361.7594;361.7594
200001076;1;414.8216;414.8216
200001077;1;465.8092;465.8092
200001089;1;480.9054;480.9054
200001123;2;480.9054;961.8108
200001126;1;509.8432;509.8432
200001149;2;362.0464;724.0928
200001176;1;1442.2324;1442.2324
200001185;2;447.1378;894.2756
20BM36503;1;1027.747;1027.747
20BM36507;1;1027.747;1027.747
20VW36502X;1;1101.1616;1101.1616
20VW36507X;1;1027.747;1027.747
20W60;16;15.498;247.968
210001074;1;177.0216;177.0216
21004-AN001;1;1914.29;1914.29
21004-AT002;1;2112.32;2112.32
216BFWABOSM;17;12.0294;204.4998
216BFWAEBOSM;13;22.0334;286.4342
216BFWAFPSM;3;21.1068;63.3204
216BFWAOPSM;18;18.5238;333.4284
216BFWAOTSM;27;15.9408;430.4016
216BFWAVOSM;23;14.6124;336.0852
216BFWAWTSM;17;15.9408;270.9936
216BFWGBOSM;8;13.2512;106.0096
216BFWGEBOSM;4;23.2798;93.1192
216BFWGFPSM;9;21.5086;193.5774
216BFWGOPSM;8;20.4836;163.8688
216BFWGOTSM;2;17.8186;35.6372
216CLSDWABO-R;16;29.0362;464.5792
216CLSDWAEGT-R;3;44.5014;133.5042
216CLSDWAFP-R;7;36.531;255.717
216CLSDWAOP-R;17;36.7114;624.0938
216CLSDWAOT-R;18;22.7304;409.1472
216CLSDWAVO-R;18;22.0334;396.6012
216CLSDWAWT-R;10;23.575;235.75
216EVOAFRWB4.9-WO;6;84.87;509.22
216EVOBO;10;27.6422;276.422
216EVOEFP-RB;2;33.497;66.994
216EVOEGT;12;38.6384;463.6608
216EVOFL-RB;2;19.516;39.032
216EVOOT-RB;5;21.1068;105.534
216EVOVO-RB;6;19.6636;117.9816
216EVOWGAFRWB4.9-WO;2;85.28;170.56
216EVOWT-C;5;21.1068;105.534
216VWBWBO270-3;9;14.6534;131.8806
216VWBWEBO270;6;25.83;154.98
216VWBWEGT270;3;43.0664;129.1992
216VWBWEOP270;9;31.8078;286.2702
216VWBWOT270;8;18.7124;149.6992
216VWBWVO270;4;18.7124;74.8496
216VWBWWT270;8;18.7124;149.6992
22002-AN038;1;1419.215;1419.215
22004-AM001;2;113.16;226.32
222462A;1;116.9238;116.9238
238CLSDWABO-R;9;28.8558;259.7022
238CLSDWAOP-R;4;36.1292;144.5168
238CLSDWAOT-R;2;22.7714;45.5428
238CLSDWAWT-R;4;22.7714;91.0856
238EVOBO-PK-R;7;32.9148;230.4036
238EVOOP-PK-R;7;38.1546;267.0822
238EVOOT-PK-R;6;26.8304;160.9824
238SMBO270-PK;2;30.1842;60.3684
238SMFPSWL270;5;36.5638;182.819
238SMOP270-PK;7;36.5638;255.9466
238SMOT270-C;5;20.9592;104.796
24003-AK002;2;39.606;79.212
24003-AN001;2;42.435;84.87
24003-LB004;2;46.8712;93.7424
24996-AK001;3;13.53;40.59
24996-AK031;2;69.3064;138.6128
24996-AK046;2;60.8194;121.6388
24996-AK051;2;39.606;79.212
24996-AK053;2;56.7686;113.5372
24999-AF001;5;137.9158;689.579
24999-AM001;3;85.813;257.439
24999-AM002;4;23.7636;95.0544
25-302BK;1;69.126;69.126
250001001;3;407.5892;1222.7676
26052-CLU-BK;3;9.348;28.044
27001-AN001;1;558.256;558.256
27002-AN003;1;1149.9926;1149.9926
2Q0121321A;20;1.968;39.36
30-2400;4;55.9814;223.9256
30-3300;8;246.9512;1975.6096
30-4110;7;103.0576;721.4032
300001002;1;488.2116;488.2116
300001009;1;518.7976;518.7976
31006-AN018;2;356.454;712.908
31008-BN001;2;280.5466;561.0932
31019-AF015;3;567.686;1703.058
31019-AF022;3;594.09;1782.27
31019-AM008;3;607.292;1821.876
31019-AN015;2;521.479;1042.958
31029-AF001;2;660.1;1320.2
31029-AF008;1;825.125;825.125
31029-AM002;1;660.1;660.1
31029-AT006;1;1237.6834;1237.6834
3182654196;2;101.7374;203.4748
32003-AH007;2;726.11;1452.22
32003-AT011;1;455.469;455.469
32003-DH001;3;429.065;1287.195
32016-AH004;1;990.15;990.15
33002-AH001;1;891.135;891.135
33004-KN002;1;409.262;409.262
33005-AF018;1;760.2958;760.2958
343PE16144;3;332.5264;997.5792
35PE134;1;55.801;55.801
35SU35;1;54.2594;54.2594
369928C;1;1093.7078;1093.7078
3C4911PS;2;132.7744;265.5488
400001003.FM;1;454.8868;454.8868
400001004;2;1112.7892;2225.5784
400001006;1;443.6938;443.6938
400001013;1;1262.39;1262.39
41001-AK011;2;72.611;145.222
41001-AK012;9;48.1914;433.7226
420103485B;253;5.74;1452.22
420121321;159;8.036;1277.724
42018-AH002;2;234.3314;468.6628
44004-AK003;5;79.212;396.06
44004-AK005;1;68.6504;68.6504
