FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;ADQNIF;ERRO
INTRA-CH;202403;513881387;028CC14133;84099100;NL;NL;10;EXW;11;3;;2,6;3;790;;
INTRA-CH;202403;513881387;015BS16138;84099100;NL;NL;10;EXW;11;3;;2,6;1;263;;
INTRA-CH;202403;513881387;L-ME/SS/3;87089235;SI;SI;10;EXW;11;3;;5,2;1;509;;
INTRA-CH;202403;513881387;E-TY/SS/3;87089235;SI;SI;10;EXW;11;3;;5,2;1;327;;
INTRA-CH;202403;513881387;E-BM/T/9;87089235;SI;SI;10;EXW;11;3;;16,5;1;1848;;
INTRA-CH;202403;513881387;JE-315367;87082910;NL;NL;10;EXW;11;3;;1,6;2;1010;;
INTRA-CH;202403;513881387;PF05;90262020;ES;ES;10;EXW;11;3;;0,2;15;2160;;
INTRA-CH;202403;513881387;PF04;90262020;ES;ES;10;EXW;11;3;;0,2;30;3960;;
INTRA-CH;202403;513881387;EUPD4004104R;84099100;NL;NL;10;EXW;11;3;;1,1;1;513;;
INTRA-CH;202403;513881387;EUPD4003209R;84099100;NL;NL;10;EXW;11;3;;1,4;2;839;;
INTRA-CH;202403;513881387;EUPD4004903R;84099100;NL;NL;10;EXW;11;3;;0,9;1;552;;
INTRA-CH;202403;513881387;EUPD5002115R;85111000;NL;NL;10;EXW;11;3;;1,5;1;569;;
INTRA-CH;202403;513881387;EUPD4002112R;84099100;NL;NL;10;EXW;11;3;;1,4;4;1750;;
INTRA-CH;202403;513881387;"TTE420 TFSI";84099100;DE;DE;10;EXW;11;3;;15,7;1;1193;;
INTRA-CH;202403;513881387;K04-0064;87089997;DE;DE;10;EXW;11;3;;15;1;840;;
INTRA-CH;202403;513881387;RC-HE64;85111000;DE;DE;10;EXW;11;3;;0,6;1;24;;
INTRA-CH;202403;513881387;U5001;85111000;DE;DE;10;EXW;11;3;;0,3;28;421;;
INTRA-CH;202403;513881387;DILKAR7C9H;85111000;DE;DE;10;EXW;11;3;;0,1;6;57;;
INTRA-CH;202403;513881387;R7437-8;85111000;DE;DE;10;EXW;11;3;;0,1;40;1164;;
INTRA-CH;202403;513881387;SILZKBR8D8S;85111000;DE;DE;10;EXW;11;3;;0,1;91;728;;
INTRA-CH;202403;513881387;R7438-9;84099100;DE;DE;10;EXW;11;3;;0,1;32;917;;
INTRA-CH;202403;513881387;BKR7EIX;85111000;DE;DE;10;EXW;11;3;;0,1;2;14;;
INTRA-CH;202403;513881387;BKR7EIX;85111000;DE;DE;10;EXW;11;3;;0,1;98;721;;
INTRA-CH;202403;513881387;BKR7EIX;85111000;DE;DE;10;EXW;11;3;;0,1;2;14;;
INTRA-CH;202403;513881387;R7437-9;85111000;DE;DE;10;EXW;11;3;;0,1;1;30;;
INTRA-CH;202403;513881387;RC-ZE81;85111000;DE;DE;10;EXW;11;3;;3;1;46;;
INTRA-CH;202403;513881387;RE8C-L;85111000;DE;DE;10;EXW;11;3;;0,1;10;183;;
INTRA-CH;202403;513881387;BKR8EIX;85111000;DE;DE;10;EXW;11;3;;0,1;100;755;;
INTRA-CH;202403;513881387;BKR7EIX;85111000;DE;DE;10;EXW;11;3;;0,1;62;456;;
INTRA-CH;202403;513881387;SILFER8C7ES;85111000;DE;DE;10;EXW;11;3;;0,1;88;868;;
INTRA-CH;202403;513881387;ILZKBR7B8G;85111000;DE;DE;10;EXW;11;3;;0,1;19;128;;
INTRA-CH;202403;513881387;SILZKFR8D7S;85111000;DE;DE;10;EXW;11;3;;0,2;60;378;;
INTRA-CH;202403;513881387;SILZKGR8B8S;85111000;DE;DE;10;EXW;11;3;;0,1;100;707;;
INTRA-CH;202403;513881387;SILZKGR8B8S;85111000;DE;DE;10;EXW;11;3;;0,1;100;707;;
INTRA-CH;202403;513881387;BKR8EIX;85111000;DE;DE;10;EXW;11;3;;0,1;100;755;;
INTRA-CH;202403;513881387;U5014;84099100;DE;DE;10;EXW;11;3;;0,3;99;1795;;
