REFERENCE;QUANTITY;"WHOLESALE PRICE";TOTAL
BM23;1;237.431;237.431
SE10;1;189.1002;189.1002
FD42;1;223.6878;223.6878
FD43;1;126.2308;126.2308
SU81;1;96.432;96.432
ACSP1;65;3.69;239.85
AC-204-FU;10;35.424;354.24
AC-E46-FU;14;70.11;981.54
AC-FU-E36;20;33.21;664.2
AC-S2K-FU;9;22.14;199.26
FMBGFK2;3;21.8284;65.4852
AC-HD1-FU;3;18.86;56.58
SP3081WB;2;157.3416;314.6832
RD3025;5;162.442;812.21
SP1128WB;10;167.5096;1675.096
FMDV14T;3;35.3994;106.1982
FMDVK04D;6;76.2354;457.4124
FMDVSUB01;5;85.8048;429.024
FMDVATSI-P;1;115.3986;115.3986
FMDV004-P;3;57.5148;172.5444
FMINTLFS;1;325.335;325.335
216BFWAEBOSM;11;22.0334;242.3674
AC-NC-FU;8;22.14;177.12
216BFWAOTSM;14;15.9408;223.1712
216BFWAOPSM;9;18.5238;166.7142
VIB-1458;93;0.287;26.691
RN10;2;34.7926;69.5852
RN09;2;140.4086;280.8172
ECA3015;3;104.8124;314.4372
ESR371WB;2;124.6728;249.3456
SP2070P;4;134.2996;537.1984
EVO1206;6;182.4008;1094.4048
FMWRX301-A;5;69.2982;346.491
216EVOWGAFRWB4.9-WO;2;85.28;170.56
216EVOAFRWB4.9-WO;6;84.87;509.22
MMAI-CLA45-14BK;19;177.16633;3366.16027
RN12;2;205.164;410.328
JSK-101-DD;40;155.2506;6210.024
MMRAD-350Z-07;2;141.8846;283.7692
MMRAD-370Z-09;2;231.732;463.464
MMTS-S2K-00L;2;24.641;49.282
MMFAN-SWITCH;3;14.6042;43.8126
200001032;2;369.9594;739.9188
200001049;1;369.9594;369.9594
CTS-IT-105R;25;110.7;2767.5
200001076;1;414.8216;414.8216
500001010;2;408.2698;816.5396
500001014;1;217.054;217.054
FMDVK04SA;13;76.2354;991.0602
FMDV2A;2;103.3692;206.7384
FMDVA45A;4;61.295;245.18
FMDVST180A;2;115.3986;230.7972
FMDV14TSI;2;27.8062;55.6124
FMBGFK6;2;24.2474;48.4948
FMPCVD1;11;45.6658;502.3238
SES1989TT;5;700.2882;3501.441
CTS-HW-031;18;55.35;996.3
CTS-IT-250;16;154.2338;2467.7408
CTS-IT-220R;2;121.77;243.54
CTS-HW-030;11;40.5818;446.3998
CTS-IT-110;14;93.3488;1306.8832
CTS-HW-0090;1;73.0538;73.0538
CTS-HW-0151;30;81.1718;2435.154
CTS-IT-270R;27;128.0348;3456.9396
FMINTMRS;2;393.0424;786.0848
MMRAD-E46-01;6;274.5606;1647.3636
MMRAD-E36-92;13;117.8258;1531.7354
MMRAD-RSF-09;4;228.78;915.12
MMRAD-GLF-94;5;144.7136;723.568
MMRAD-MK5-08;3;144.7136;434.1408
MMRAD-GLF-99;8;144.7218;1157.7744
MMRAD-B4-90;4;136.18314;544.73256
MMRAD-BRZ-13;3;129.314;387.942
MMRAD-R35-09;1;229.9198;229.9198
MMRAD-MIA-99;4;103.3118;413.2472
MMRAD-RX8-04;2;126.7966;253.5932
MMRAD-240-89KA;6;111.4216;668.5296
MMRAD-CIV-02SI;5;114.4064;572.032
MMRAD-EVO-01;2;145.4352;290.8704
MMRAD-EVO-10;3;148.1576;444.4728
MMTS-S4-00L;2;24.6492;49.2984
MMTS-E90-07;7;29.0772;203.5404
MMTS-CIV-92L;3;23.6898;71.0694
MMTS-350Z-03L;3;23.2634;69.7902
MMTS-350Z-07;3;24.6492;73.9476
MMTS-WRX-01;3;28.7574;86.2722
MMTS-BRZ-13;2;22.55;45.1
MMTS-RX8-04L;5;25.13874;125.6937
MMTS-RSX-02;2;24.6;49.2
MMTS-VR6-93L;2;23.6898;47.3796
MMTS-EVO-01;3;23.6898;71.0694
MMTS-FIST-14;4;24.6492;98.5968
CTS-CC-MK5FSI;5;177.1118;885.559
MMDP-MUS4-15CAT;3;238.0952;714.2856
216EVOOT-RB;4;21.1068;84.4272
216EVOWT-C;5;21.1068;105.534
CTS-HS-150;9;11.07;99.63
CTS-IT-285;5;35.4158;177.079
CTS-HW-003;2;26.5598;53.1196
CTS-IT-600;11;62.73;690.03
CTS-IT-210;1;81.1718;81.1718
"CTS-HW-036 ARP";12;69.3638;832.3656
CTS-HW-0199;7;32.4638;227.2466
MMOC-E46-01;6;364.777;2188.662
FMARSDV;2;198.1448;396.2896
FMMK5FMIC;4;358.463;1433.852
FMINT32;1;402.2346;402.2346
FMINDST180;4;88.765;355.06
FMIND05;3;126.3128;378.9384
216EVOEGT;9;38.6384;347.7456
MMOC-MIA-99T;1;192.96486;192.96486
MMOC-EVO-08;2;268.7796;537.5592
AC-MK4-FU;16;29.52;472.32
MMBCC-N54-06CBE2;3;97.5144;292.5432
EVO9200;7;150.5438;1053.8066
EVO300E;12;157.1612;1885.9344
MMBCC-FIST-14PBE;4;87.8712;351.4848
MMBCC-FOST-13PBE2;1;90.1426;90.1426
MMBCC-MUS4-15PBE;2;74.92012;149.84024
MMBCC-BRZ-13PBE;2;89.6506;179.3012
MMBCC-STI-08SBE;1;201.146;201.146
CTS-IT-020;3;62.73;188.19
MMHOSE-MIA-90HHBK;2;28.5606;57.1212
MMHOSE-MIA-94HHBK;2;31.21822;62.43644
216BFWAWTSM;7;15.9408;111.5856
216BFWAVOSM;23;14.6124;336.0852
216BFWGEBOSM;4;23.2798;93.1192
216BFWGOPSM;8;20.4836;163.8688
216BFWGOTSM;2;17.8186;35.6372
MMHOSE-R35-09BK;1;43.0336;43.0336
FMBGFK3;4;23.903;95.612
FMDVRMR;2;68.1584;136.3168
MMRAD-K20-EK;1;145.2384;145.2384
MMRAD-K20-EG;2;130.4128;260.8256
FMDVCS14A;3;76.2354;228.7062
FMBM335DV1;5;197.1362;985.681
CTS-HW-028;5;40.5818;202.909
JSK-118;2;204.2784;408.5568
S-RE/T/1;1;1424.4712;1424.4712
E-BM/T/3;1;1266.0554;1266.0554
TP-CT/26;1;903.4432;903.4432
M-BM/T/8H;1;2014.0758;2014.0758
CTS-EXH-DP-0007;3;324.7118;974.1354
FMINTRS3;2;666.045;1332.09
FMINT2TTRS;1;666.045;666.045
FMINTTTS;1;315.8476;315.8476
FMINT135F20;1;369.8282;369.8282
FMINTBM;1;347.2782;347.2782
FMINTR56;1;305.491;305.491
FMINTMF56;1;291.4608;291.4608
FMRADRS250;1;432.8534;432.8534
MMFS-S2K-00;3;85.3128;255.9384
MMFS-MIA-90;4;104.9026;419.6104
MMFS-MIA-99;2;96.9076;193.8152
MMFS-RX8-04;1;96.91088;96.91088
PF04;27;109.06;2944.62
CTS-EXH-DP-0008;1;121.77;121.77
SES1987TT;7;701.5264;4910.6848
Evo1102;9;319.3162;2873.8458
SES9001TT;2;466.867;933.734
10.127.100K;65;137.9814;8968.791
MMEXH-WRX-15;2;499.872;999.744
MMRAD-FIST-14K;1;257.4226;257.4226
MMRAD-FOST-13;2;221.99122;443.98244
CTS-IT-190;3;110.7;332.1
CTS-HW-0133;10;64.9358;649.358
AC-200-OSA;11;12.505;137.555
MMTS-GTI-99;7;24.6492;172.5444
CTS-HW-262;1;93.3488;93.3488
CTS-HW-118;2;19.9178;39.8356
TTE80;1;54.571;54.571
CTS-HW-046;6;53.1278;318.7668
FMMD1;3;76.1944;228.5832
CTS-CPA-001;5;25.83;129.15
EVO1801;2;148.4774;296.9548
SES1230TT;3;552.6144;1657.8432
EVO2001;4;150.5438;602.1752
FMMD2;6;65.1572;390.9432
MMFS-CIV-92;3;71.29408;213.88224
MMFS-WRX-01P;4;130.2078;520.8312
MMFS-S14-95SR;3;94.9724;284.9172
MMFS-EVO-01;1;87.0184;87.0184
MMFS-B4-90;4;96.91088;387.64352
MMFS-BRZ-13P;1;135.33157;135.33157
MMFS-240-89KA;3;96.9076;290.7228
MMEXH-MUS4-15;2;444.4154;888.8308
FMCCRADS53T;2;462.07;924.14
MMFS-350Z-03;4;95.63004;382.52016
FMBGFK4;2;21.4594;42.9188
FMMD3;2;71.4712;142.9424
VWR12G6GT;6;147.108;882.648
VWR12G7R600ITINLET;2;56.6374;113.2748
MMOP-TPS;12;29.1674;350.0088
VWR12G5GT;5;216.2504;1081.252
005001005;3;398.6266;1195.8798
VWR12L0CR;3;234.1674;702.5022
VWR12G60R;3;215.7584;647.2752
FMSCPS53T;3;94.259;282.777
FMDVV4010;2;60.7866;121.5732
VWR31G5GT;2;112.2908;224.5816
VWR31G60R;2;117.8996;235.7992
VWR31G7GT;16;96.3582;1541.7312
VWR31G70R;7;101.3684;709.5788
VWR31S000;2;112.5942;225.1884
VWR19G701;2;30.8894;61.7788
VWR19G702;1;29.4216;29.4216
VWR12P0GT;4;158.875;635.5
VWR1230S3;10;240.342;2403.42
FD84;1;163.0406;163.0406
11002BK;425;1.9762;839.885
MMGP-RS-16BK;3;39.70153;119.10459
VWR11G502;5;29.5692;147.846
VWR11G503;2;27.552;55.104
VWR11P1GT;4;41.7872;167.1488
VWR11P0GT;3;51.1516;153.4548
VWR11G501;3;27.0026;81.0078
VWR11G701;6;35.5962;213.5772
VWR1140S4;1;54.5218;54.5218
VWR12PRWRC;2;362.768;725.536
VWR12G6K03;1;205.82;205.82
VWR121020;1;243.6548;243.6548
FMBGFK7;2;19.0814;38.1628
VWR69G7KIT;4;67.9616;271.8464
VWR15G503;6;106.4278;638.5668
VWR15G502;2;158.383;316.766
VWR15G501;2;158.383;316.766
MMTS-240-89KA;4;24.6492;98.5968
MMSTB-FIST-14TB;2;72.8242;145.6484
MMSTB-MUS-15;2;89.6506;179.3012
MMSK-TUE-16;2;27.388;54.776
MMSK-RKST;1;34.2022;34.2022
MMSK-PGR-BK;1;39.3354;39.3354
MMSK-FSB;2;27.06;54.12
MMSK-CF;1;21.77428;21.77428
216EVOBO;9;27.6422;248.7798
216BFWABOSM;13;12.0294;156.3822
216BFWAFPSM;3;21.1068;63.3204
VWR13G700;1;290.2964;290.2964
VWR13G700RFK;15;30.8894;463.341
MMGRT-215;2;14.8994;29.7988
MMGRT-235;3;28.1916;84.5748
FMIND16;1;212.4292;212.4292
FMINTS3FS;2;315.8558;631.7116
FMINTSCIR;1;263.22;263.22
FMINTMK7;3;295.405;886.215
TTE780;2;2555.981;5111.962
CTS-EXH-CB-0007.0;1;354.2318;354.2318
CTS-EXH-CB-0002;3;332.0918;996.2754
CTS-EXH-CB-0020-2;1;442.7918;442.7918
CTS-EXH-CB-0008;2;398.5118;797.0236
AC-200-HS;90;7.011;630.99
CTS-EXH-CB-0001;1;309.9518;309.9518
CTS-EXH-CB-0003;2;431.7218;863.4436
CTS-EXH-CB-0015;1;568.2518;568.2518
CTS-EXH-CB-0017;1;243.5318;243.5318
FMDV7;1;188.7148;188.7148
AC-200-FD;67;10.701;716.967
FMCCRAD7;2;594.951;1189.902
FMINT7;1;395.3794;395.3794
FMTUBL1;5;38.5892;192.946
FMRMCLMP;3;16.8264;50.4792
FMSBCVXR;5;22.3614;111.807
FMHTR56;1;130.7162;130.7162
FMBGFK11;4;24.2474;96.9896
FMWBSCI-BK;1;53.628;53.628
FMVAG5QS;3;60.926;182.778
FMBP135F20;3;170.109;510.327
FMSS2;1;54.8662;54.8662
FMBGKS53T;1;23.1896;23.1896
FMBGMCS;3;14.145;42.435
FMBPVXA;1;18.9994;18.9994
FMBPVRM;2;19.5406;39.0812
FMBSMP18T;3;141.6796;425.0388
FMWS11BB;3;29.6102;88.8306
JSK-111-70;1;73.5376;73.5376
JSK-110;3;119.9496;359.8488
JSK-119-BK;4;119.9496;479.7984
FMOCRS4;2;552.4996;1104.9992
JSK-115-BOLT;1;127.059;127.059
JSK-115-TWIST;1;149.937;149.937
JSK-103;10;69.4458;694.458
JSK-103-80;17;69.4458;1180.5786
CK-003;13;10.4714;136.1282
