FLUXO;PERIODO;NIF;REF;NC;PAIS;PORIGEM;REGIAO;CODENT;NATTRA;MODTRA;AERPOR;MASSA;UNSUP;VALFAC;"VAL ESTAT";ADQNIF;ERRO
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
INTRA-EX;202405;513881387;10.127.203K;84132000;ES;PT;10;EXW;11;3;;0,3;1,000;314;;ES45367300F;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
INTRA-EX;202405;513881387;TTE500+;84099100;IT;PT;10;EXW;11;3;;15;1,000;2427;;IT03943631204;
INTRA-EX;202405;513881387;L3P3BF2W;87089997;IT;PT;10;EXW;11;3;;1;1,000;252;;IT03656931205;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
INTRA-EX;202405;513881387;R7437-9-5;85111000;ES;PT;10;EXW;11;3;;0,3;2,000;393;;ES45784779J;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
INTRA-EX;202405;513881387;CLK-2;84213100;ES;PT;10;EXW;11;3;;1;2,000;42;;ESB44942472;
INTRA-EX;202405;513881387;R7437-9;85111000;ES;PT;10;EXW;11;3;;0,1;5,000;176;;ESB44942472;
INTRA-EX;202405;513881387;VWR150000;87089997;ES;PT;10;EXW;11;3;;0,2;1,000;79;;ESB44942472;
INTRA-EX;202405;513881387;AC-MK7R-DP;87089235;ES;PT;10;EXW;11;3;;11,3;1,000;185;;ESB04855516;
INTRA-EX;202405;513881387;S-BM/T/6H;87089235;ES;PT;10;EXW;11;3;;12;1,000;2319;;ESB19296938;
INTRA-EX;202405;513881387;EVE-JCWGP3-INT;84213100;FR;PT;10;EXW;11;3;;4,3;1,000;1156;;FR26750353237;
INTRA-EX;202405;513881387;AC-500-QS;87089997;DE;PT;10;EXW;11;3;;0,4;1,000;37;;QV999999999999;
INTRA-EX;202405;513881387;BKR8EIX-4;85111000;BE;PT;10;EXW;11;3;;0,2;1,000;39;;QV999999999999;
INTRA-EX;202405;513881387;06E898001-4;85111000;BE;PT;10;EXW;11;3;;1,2;1,000;104;;QV999999999999;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
INTRA-EX;202405;513881387;MS100192;85111000;ES;PT;10;EXW;11;3;;0,3;4,000;149;;ES78832668F;
