REFERENCE;QUANTITY;"WHOLESALE PRICE";TOTAL
BM23;2;237.431;474.862
SE10;1;189.1002;189.1002
FD42;1;223.6878;223.6878
FD43;1;126.2308;126.2308
SU81;1;96.432;96.432
ACSP1;78;3.69;287.82
AC-204-FU;11;35.424;389.664
FMBGFK2;3;21.8284;65.4852
AC-HD1-FU;3;18.86;56.58
SP3081WB;2;157.3416;314.6832
RD3025;5;162.442;812.21
SP1128WB;10;167.5096;1675.096
FMDV14T;5;35.3994;176.997
FMDVK04D;3;76.2354;228.7062
FMDVSUB01;5;85.8048;429.024
FMDVATSI-P;1;115.3986;115.3986
FMDV004-P;2;57.5148;115.0296
FMINTLFS;1;325.335;325.335
216BFWAEBOSM;11;22.0334;242.3674
216BFWAOTSM;25;15.9408;398.52
216BFWAOPSM;16;18.5238;296.3808
VIB-1458;99;0.287;28.413
RN10;2;34.7926;69.5852
RN09;2;140.4086;280.8172
ECA3015;3;104.8124;314.4372
ESR371WB;2;124.6728;249.3456
SP2070P;4;134.2996;537.1984
EVO1206;7;182.4008;1276.8056
FMWRX301-A;4;69.2982;277.1928
216EVOWGAFRWB4.9-WO;2;85.28;170.56
216EVOAFRWB4.9-WO;6;84.87;509.22
RN12;2;205.164;410.328
JSK-101-DD;16;155.2506;2484.0096
MMRAD-350Z-07;3;141.8846;425.6538
MMRAD-370Z-09;2;231.732;463.464
MMTS-S2K-00L;1;24.641;24.641
MMFAN-SWITCH;3;14.6042;43.8126
200001068;1;361.7594;361.7594
200001032;2;369.9594;739.9188
200001049;1;369.9594;369.9594
CTS-IT-105R;37;110.7;4095.9
200001076;1;414.8216;414.8216
500001010;2;408.2698;816.5396
500001014;1;217.054;217.054
FMDVK04S-A;3;76.2354;228.7062
FMDVA45A;5;61.295;306.475
FMDVST180A;1;115.3986;115.3986
FMDV14TSI;2;27.8062;55.6124
FMBGFK6;2;24.2474;48.4948
FMPCVD1;6;45.6658;273.9948
SES1989TT;5;700.2882;3501.441
CTS-IT-250;21;154.2338;3238.9098
CTS-IT-220R;9;121.77;1095.93
CTS-HW-030;11;40.5818;446.3998
CTS-IT-110;20;93.3488;1866.976
CTS-HW-0090;3;73.0538;219.1614
CTS-HW-0151;32;81.1718;2597.4976
CTS-IT-270R;31;128.0348;3969.0788
CTS-HW-0099;2;81.1718;162.3436
FMINTMRS;2;393.0424;786.0848
MMRAD-E46-01;6;274.5606;1647.3636
MMRAD-E36-92;5;117.8258;589.129
MMRAD-RSF-09;5;228.78;1143.9
CTS-IT-500;1;68.9948;68.9948
MMRAD-GLF-94;1;144.7136;144.7136
MMRAD-MK5-08;5;141.8846;709.423
MMRAD-GLF-99;5;144.7218;723.609
MMRAD-B4-90;4;133.5124;534.0496
MMRAD-BRZ-13;4;129.314;517.256
CTS-IT-280;1;62.73;62.73
MMRAD-R35-09;1;229.9198;229.9198
MMRAD-MIA-99;1;101.2864;101.2864
MMRAD-240-89KA;6;111.4216;668.5296
MMRAD-CIV-02SI;5;114.4064;572.032
MMRAD-EVO-01;2;145.4352;290.8704
MMRAD-EVO-10;4;148.1576;592.6304
CTS-CC-MK6TSI;3;239.8418;719.5254
MMTS-S4-00L;2;24.6492;49.2984
MMTS-E90-07;6;29.0772;174.4632
MMTS-CIV-92L;4;23.6898;94.7592
MMTS-350Z-03L;5;23.2634;116.317
