old_wholesale_price;old_price;reference;attr_reference;new_wholesale_price;wholesale_price_diff;new_price;price_diff;wholesale_convertion_rate;price_convertion_rate;new
54.700000;77.050000;T50-20-1;;3;-51.7;4.5;-72.55;1.100000;1.200000;0
4.100000;1.150000;T50-10-1;;4.1;0;1.15;0;1.100000;1.200000;0
5.200000;2.800000;R10-10-1;;5.2;0;2.8;0;1.100000;1.200000;0
6.300000;4.450000;R10-10-2;;6.3;0;4.45;0;1.100000;1.200000;0
7.400000;6.100000;R09-10-1;;7.4;0;6.1;0;1.100000;1.200000;0
8.500000;7.750000;R09-10-2;;8.5;0;7.75;0;1.100000;1.200000;0
9.600000;9.400000;R22-10-1;;9.6;0;9.4;0;1.100000;1.200000;0
10.700000;11.050000;R22-10-2;;10.7;0;11.05;0;1.100000;1.200000;0
11.800000;12.700000;R13-10-1;;11.8;0;12.7;0;1.100000;1.200000;0
12.900000;14.350000;R13-10-2;;12.9;0;14.35;0;1.100000;1.200000;0
14.000000;16.000000;R06-10-1;;14;0;16;0;1.100000;1.200000;0
15.100000;17.650000;R06-10-2;;15.1;0;17.65;0;1.100000;1.200000;0
16.200000;19.300000;R01-10-1;;16.2;0;19.3;0;1.100000;1.200000;0
17.300000;20.950000;R01-10-2;;17.3;0;20.95;0;1.100000;1.200000;0
18.400000;22.600000;R01-20-1;;18.4;0;22.6;0;1.100000;1.200000;0
19.500000;24.250000;R01-20-2;;19.5;0;24.25;0;1.100000;1.200000;0
20.600000;25.900000;R02-10-1;;20.6;0;25.9;0;1.100000;1.200000;0
21.700000;27.550000;R02-10-2;;21.7;0;27.55;0;1.100000;1.200000;0
22.800000;29.200000;R02-20-1;;22.8;0;29.2;0;1.100000;1.200000;0
23.900000;30.850000;R02-20-2;;23.9;0;30.85;0;1.100000;1.200000;0
25.000000;32.500000;R07-10-1;;25;0;32.5;0;1.100000;1.200000;0
26.100000;34.150000;R07-10-2;;26.1;0;34.15;0;1.100000;1.200000;0
27.200000;35.800000;R14-10-2;;27.2;0;35.8;0;1.100000;1.200000;0
28.300000;37.450000;R11-10-1;;28.3;0;37.45;0;1.100000;1.200000;0
29.400000;39.100000;R11-10-2;;29.4;0;39.1;0;1.100000;1.200000;0
30.500000;40.750000;R15-10-2;;30.5;0;40.75;0;1.100000;1.200000;0
31.600000;42.400000;R21-10-2;;31.6;0;42.4;0;1.100000;1.200000;0
32.700000;44.050000;R17-10-2;;32.7;0;44.05;0;1.100000;1.200000;0
33.800000;45.700000;R17-20-2;;33.8;0;45.7;0;1.100000;1.200000;0
34.900000;47.350000;R28-10-2;;34.9;0;47.35;0;1.100000;1.200000;0
36.000000;49.000000;R28-20-2;;36;0;49;0;1.100000;1.200000;0
37.100000;50.650000;R25-10-2;;37.1;0;50.65;0;1.100000;1.200000;0
38.200000;52.300000;R08-40-1;;38.2;0;52.3;0;1.100000;1.200000;0
39.300000;53.950000;R08-40-2;;39.3;0;53.95;0;1.100000;1.200000;0
40.400000;55.600000;R16-10-1;;40.4;0;55.6;0;1.100000;1.200000;0
41.500000;57.250000;R16-10-2;;41.5;0;57.25;0;1.100000;1.200000;0
42.600000;58.900000;R12-10-1;;42.6;0;58.9;0;1.100000;1.200000;0
43.700000;60.550000;R04-10-1;;43.7;0;60.55;0;1.100000;1.200000;0
44.800000;62.200000;R04-10-2;;44.8;0;62.2;0;1.100000;1.200000;0
45.900000;63.850000;R05-10-1;;45.9;0;63.85;0;1.100000;1.200000;0
47.000000;65.500000;R05-10-2;;47;0;65.5;0;1.100000;1.200000;0
48.100000;67.150000;R03-20-1;;48.1;0;67.15;0;1.100000;1.200000;0
49.200000;68.800000;R03-20-2;;49.2;0;68.8;0;1.100000;1.200000;0
50.300000;70.450000;R03-10-1;;50.3;0;70.45;0;1.100000;1.200000;0
51.400000;72.100000;R03-10-2;;51.4;0;72.1;0;1.100000;1.200000;0
52.500000;73.750000;R18-10-1;;52.5;0;73.75;0;1.100000;1.200000;0
53.600000;75.400000;R18-10-2;;53.6;0;75.4;0;1.100000;1.200000;0
3.000000;4.500000;T50-20-1;;54.7;51.7;77.05;72.55;1.100000;1.200000;0
0;0;A18-10-2;;0;0;0;0;0;0;1
0;0;A50-20-1;;0;0;0;0;0;0;1
