Tipo Doc.;N.º Doc.;Refª Cliente;Data;Cliente;Contribuinte;País;Zona geográfica;Vendedor;Método de Pagamento;Valor Pgto.;Comissão Pgto.;Cód. Artigo;Código EAN;Artigos;Qtd.;Uni.;Preço unitário sem IVA;Total Artigo;Total Ilíq.;Desc.;Total Liq.;Impostos;Desc. Financeiro;Total;Acumulado;Local de Descarga;Observações
Fatura-Recibo;2024NL/473;;07/06/2024;24TUNED;NL002254344B79;Países Baixos;;;;;;VWR12UPITINLET;;RacingLine 1.0 TSI Turbo Inlet / UP! / Polo / Ibiza / Golf etc / EA211 1.0 TSI;2;Uni.;78,351;156,7;156,7;0;156,7;0;0;156,7;377,83;;
Fatura-Recibo;2024NL/473;;07/06/2024;24TUNED;NL002254344B79;Países Baixos;;;;;;VWR120010;;RacingLine Turbo Inlet System (Elbow & Silicone Hose) / MQB EVO / EA888.4 2.0 TSI CONTINENTAL Turbo / 300-320PS;1;Uni.;178,682;178,68;178,68;0;178,68;0;0;178,68;556,51;;
Fatura-Recibo;2024NL/473;;07/06/2024;24TUNED;NL002254344B79;Países Baixos;;;;;;VWR69000BF1;;RacingLine Brake Fluid RBF312 / 500ml 300 DOT 4;1;Uni.;11,466;11,47;11,47;0;11,47;0;0;11,47;567,98;;
Fatura-Recibo;2024NL/473;;07/06/2024;24TUNED;NL002254344B79;Países Baixos;;;;;;VWR810000;;RacingLine Rear Wiper Delete;3;Uni.;17,202;51,61;51,61;0;51,61;0;0;51,61;619,59;;
Fatura-Recibo;2024NL/473;;07/06/2024;24TUNED;NL002254344B79;Países Baixos;;;;;;SHIPPING-NL-0-10;;HOLLAND (0-10KG);1;Uni.;15;15;15;0;15;0;0;15;634,59;;
Fatura-Recibo;2024NL/473;;07/06/2024;24TUNED;NL002254344B79;Países Baixos;;;;;;ccFee;;CREDIT CARD FEE;1;Uni.;6,35;6,35;6,35;0;6,35;0;0;6,35;640,94;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024NL/474;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;Card;369,99;---;;;;;;;;369,99;0;369,99;0;0;369,99;200412,89;Cornelis van Den Bergstraat 29;
Fatura-Recibo;2024NL/474;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;AC-S55-MP;;BMW S55 M3 F80 / M4 F8x ALPHA COMPETITION MID-PIPE KIT;1;Uni.;349,992;349,99;349,99;0;349,99;0;0;349,99;349,99;;
Fatura-Recibo;2024NL/474;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;SHIPPING-NL-10-30;;HOLLAND (10-30KG);1;Uni.;20;20;20;0;20;0;0;20;369,99;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024NL/475;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;Card;101,42;---;;;;;;;;101,42;0;101,42;0;0;101,42;200514,31;Mitswegestraat 1;
Fatura-Recibo;2024NL/475;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;TS-0203-1261;;TURBOSMART BOV KOMPACT SHORTIE - PLUMB BACK;1;Uni.;86,4175;86,42;86,42;0;86,42;0;0;86,42;86,42;;
Fatura-Recibo;2024NL/475;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;SHIPPING-BE-0-10;;BELGIUM (0-10KG);1;Uni.;15;15;15;0;15;0;0;15;101,42;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024NL/476;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;Card;1379,43;---;;;;;;;;1379,43;0;1379,43;0;0;1379,43;201893,74;Galgenbergweg 7;
Fatura-Recibo;2024NL/476;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;EVE-B9S5-CF-INT;;Eventuri Audi B9 S5/S4 Black Carbon intake;1;Uni.;1035;1035;1035;0;1035;0;0;1035;1035;;
Fatura-Recibo;2024NL/476;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;TS-0223-1079;;BOV Kompact EM Dual Port VR18;1;Uni.;149,4675;149,47;149,47;0;149,47;0;0;149,47;1184,47;;
Fatura-Recibo;2024NL/476;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;CTS-IGN-007;;CTS TURBO IGNITION COIL FOR TSI GEN3 (1.8T / 2.0T / 2.5T / 3.0T / 4.0T);6;Uni.;29,9925;179,96;179,96;0;179,96;0;0;179,96;1364,43;;
Fatura-Recibo;2024NL/476;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;SHIPPING-NL-0-10;;HOLLAND (0-10KG);1;Uni.;15;15;15;0;15;0;0;15;1379,43;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024NL/477;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;Card;1127,16;---;;;;;;;;1127,16;0;1127,16;0;0;1127,16;203020,9;Dintel 5;
Fatura-Recibo;2024NL/477;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;R7437-8;;NGK R7437-8 RACING SPARK PLUG;16;Uni.;34,28;548,48;548,48;0;548,48;0;0;548,48;548,48;;
Fatura-Recibo;2024NL/477;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;R7437-9;;NGK R7437-9 RACING SPARK PLUG;16;Uni.;35,23;563,68;563,68;0;563,68;0;0;563,68;1112,16;;
Fatura-Recibo;2024NL/477;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;SHIPPING-NL-0-10;;HOLLAND (0-10KG);1;Uni.;15;15;15;0;15;0;0;15;1127,16;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024NL/478;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;Card;100,5;---;;;;;;;;100,5;0;100,5;0;0;100,5;203121,4;Meerhoutstraat 3;
Fatura-Recibo;2024NL/478;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;EVE-F8xM-PF;;Eventuri BMW F8X M3/M4 Panel Filter Pair;1;Uni.;85,5;85,5;85,5;0;85,5;0;0;85,5;85,5;;
Fatura-Recibo;2024NL/478;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;SHIPPING-BE-0-10;;BELGIUM (0-10KG);1;Uni.;15;15;15;0;15;0;0;15;100,5;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024NL/479;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;Card;53,22;---;;;;;;;;53,22;0;53,22;0;0;53,22;203174,62;ZANDVOORDESCHORREDIJKSTRAAT 48;
Fatura-Recibo;2024NL/479;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;VWR17G7R600;;RacingLine R600 Coolant UnderHose / MQB / EA888.3 1.8 & 2.0 TSI / EA888.4 2.0 TSI Golf mk8 R;1;Uni.;38,22;38,22;38,22;0;38,22;0;0;38,22;38,22;;
Fatura-Recibo;2024NL/479;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;SHIPPING-BE-0-10;;BELGIUM (0-10KG);1;Uni.;15;15;15;0;15;0;0;15;53,22;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024NL/480;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;Card;74,99;---;;;;;;;;74,99;0;74,99;0;0;74,99;203249,61;Het Bunder 15;
Fatura-Recibo;2024NL/480;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;AC-MK7-FU-BK;;S3 8V / GOLF 7 / LEON 3 ALPHA COMPETITION FRONT STRUT BRACE - BLACK;1;Uni.;59,994;59,99;59,99;0;59,99;0;0;59,99;59,99;;
Fatura-Recibo;2024NL/480;;07/06/2024;JT-products;NL002241494B08;Países Baixos;;;;;;SHIPPING-BE-0-10;;BELGIUM (0-10KG);1;Uni.;15;15;15;0;15;0;0;15;74,99;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024NL/481;;07/06/2024;Stephano Sproet;NL999999990;Países Baixos;;;Transferência Bancária;107,36;---;;;;;;;;88,73;0;88,73;18,63;0;107,36;203356,97;Eclipshof 1;
Fatura-Recibo;2024NL/481;;07/06/2024;Stephano Sproet;NL999999990;França;;;;;;SSE0433-4P-BK;;Leon 3 Cupra with Brembo Calipers Goodridge Braided Brake Hose Lines Kit - Color : Black, Version : Electric Parking Brake;1;Uni.;82,1157;82,12;82,12;0;82,12;17,24;0;99,36;99,36;;
Fatura-Recibo;2024NL/481;;07/06/2024;Stephano Sproet;NL999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;6,61157;6,61;6,61;0;6,61;1,39;0;8;107,36;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024WEB/797;;07/06/2024;FULL HP-MOTORSPORT;RE999999990;Reunião;;;Transferência Bancária;78,08;---;;;;;;;;78,08;0;78,08;0;0;78,08;203435,05;124 rue Léopold Rambaud;
Fatura-Recibo;2024WEB/797;;07/06/2024;FULL HP-MOTORSPORT;RE999999990;França;;;;;;WB-336;;Filtre a air sport ITG Profilter pour Renault Megane 4 RS;1;Uni.;43,32;43,32;43,32;0;43,32;0;0;43,32;43,32;;
Fatura-Recibo;2024WEB/797;;07/06/2024;FULL HP-MOTORSPORT;RE999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;34,76;34,76;34,76;0;34,76;0;0;34,76;78,08;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024WEB/800;;07/06/2024;TZ Engineering - Ferreira Unip. LDA;PT514376600;Portugal;;;Transferência Bancária;839,14;---;;;;;;;;682,23;0;682,23;156,91;0;839,14;204274,19;RUA DA PAMPILHOSA 333;
Fatura-Recibo;2024WEB/800;;07/06/2024;TZ Engineering - Ferreira Unip. LDA;PT514376600;Portugal;;;;;;MS100219;;APR IGNITION COILS - 4.0 TFSI (EA824) - RED;8;Uni.;41,5297;332,24;332,24;0;332,24;76,41;0;408,65;408,65;;
Fatura-Recibo;2024WEB/800;;07/06/2024;TZ Engineering - Ferreira Unip. LDA;PT514376600;Portugal;;;;;;AC-MK7-HPFP;;ALPHA COMPETITION HIGH PRESSURE FUEL PUMP S3 8V / LEON 3 CUPRA / GOLF 7 GTI / GOLF 7 R;1;Uni.;339,99;339,99;339,99;0;339,99;78,2;0;418,19;826,84;;
Fatura-Recibo;2024WEB/800;;07/06/2024;TZ Engineering - Ferreira Unip. LDA;PT514376600;Portugal;;;;;;SHIPPING-PT-0-10;;PORTUGAL (0-10KG);1;Uni.;10;10;10;0;10;2,3;0;12,3;839,14;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024WEB/801;;07/06/2024;MANF Racing;PT516394576;Portugal;;;Transferência Bancária;525,83;---;;;;;;;;427,49;0;427,49;98,34;0;525,83;204800,02;Largo da Igreja Nº2729, EN1;
Fatura-Recibo;2024WEB/801;;07/06/2024;MANF Racing;PT516394576;Portugal;;;;;;AC-UNI-WD;;ALPHA COMPETITION REAR WIPER DELETE PLUG AUDI / SEAT / VW / SKODA;1;Uni.;7,8;7,8;7,8;0;7,8;1,79;0;9,59;9,59;;
Fatura-Recibo;2024WEB/801;;07/06/2024;MANF Racing;PT516394576;Portugal;;;;;;AC-MQB-FD;;ALPHA COMPETITION RUNNER FLAP DELETE KIT FOR MQB EA888.3;2;Uni.;44,496;88,99;88,99;0;88,99;20,47;0;109,46;119,05;;
Fatura-Recibo;2024WEB/801;;07/06/2024;MANF Racing;PT516394576;Portugal;;;;;;06K129717A;;2.0 TFSI EA113 / EA888.1 INTAKE MANIFOLD GASKET;1;Uni.;5,28049;5,28;5,28;0;5,28;1,21;0;6,49;125,54;;
Fatura-Recibo;2024WEB/801;;07/06/2024;MANF Racing;PT516394576;Portugal;;;;;;AC-MK7-DI.A;;ALPHA COMPETITION DOGBONE MOUNT INSERT FOR MQB TYPE A;2;Uni.;21,492;42,98;42,98;0;42,98;9,89;0;52,87;178,41;;
Fatura-Recibo;2024WEB/801;;07/06/2024;MANF Racing;PT516394576;Portugal;;;;;;AC-200-TM;;ALPHA COMPETITION TRANSMISSION MOUNT GOLF 5 / GOLF 6 / LEON 2 / S3 8P / TT 8J 4CYL;1;Uni.;49,992;49,99;49,99;0;49,99;11,5;0;61,49;239,9;;
Fatura-Recibo;2024WEB/801;;07/06/2024;MANF Racing;PT516394576;Portugal;;;;;;AC-200-EM;;ALPHA COMPETITION ENGINE MOUNT GOLF 5 / GOLF 6 / LEON 2 / S3 8P / TT 8J 4CYL;1;Uni.;54,99;54,99;54,99;0;54,99;12,65;0;67,64;307,54;;
Fatura-Recibo;2024WEB/801;;07/06/2024;MANF Racing;PT516394576;Portugal;;;;;;AC-200-CH-BK;;2.0 TFSI EA113 ALPHA COMPETITION SILICONE COOLANT HOSE KIT - BLACK;1;Uni.;69,99;69,99;69,99;0;69,99;16,1;0;86,09;393,63;;
Fatura-Recibo;2024WEB/801;;07/06/2024;MANF Racing;PT516394576;Portugal;;;;;;AC-200-FD;;ALPHA COMPETITION RUNNER FLAP DELETE KIT FOR 2.0 TFSI EA113;3;Uni.;32,49;97,47;97,47;0;97,47;22,42;0;119,89;513,52;;
Fatura-Recibo;2024WEB/801;;07/06/2024;MANF Racing;PT516394576;Portugal;;;;;;SHIPPING-PT-0-10;;PORTUGAL (0-10KG);1;Uni.;10;10;10;0;10;2,3;0;12,3;525,82;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024WEB/802;;07/06/2024;Mário Tiago Alves;PT999999990;Portugal;;;Transferência Bancária;157,55;---;;;;;;;;128,09;0;128,09;29,46;0;157,55;204957,57;Travessa do tronco 45 6 esquerdo  Sao Mamede Infesta;
Fatura-Recibo;2024WEB/802;;07/06/2024;Mário Tiago Alves;PT999999990;França;;;;;;SRN0635-6P-RD;;Flexibles de frein aviation Goodridge pour Megane 4 RS - Couleur : Rouge, Transmission : Auto;1;Uni.;121,58537;121,59;121,59;0;121,59;27,96;0;149,55;149,55;;
Fatura-Recibo;2024WEB/802;;07/06/2024;Mário Tiago Alves;PT999999990;França;;;;;;Portes;;Custo de Portes;1;Uni.;6,50407;6,5;6,5;0;6,5;1,5;0;8;157,55;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024ES/1593;;07/06/2024;Group Autoparts SL;ESB66283003;Espanha;;;Transferência Bancária;761,59;---;;;;;;;;761,59;0;761,59;0;0;761,59;205719,16;Calle de la Devesa, 1-9, Nave 3A;
Fatura-Recibo;2024ES/1593;;07/06/2024;Group Autoparts SL;ESB66283003;Espanha;;;;;;MMOC-BRZ-13T;;MISHIMOTO Subaru/Scion/Toyota BRZ/FR-S/86 Thermostatic Oil Cooler Kit, 2013+, Silver;1;Uni.;420,8555;420,86;420,86;0;420,86;0;0;420,86;420,86;;
Fatura-Recibo;2024ES/1593;;07/06/2024;Group Autoparts SL;ESB66283003;Espanha;;;;;;MMRAD-STI-08X;;MISHIMOTO 08-14 Subaru WRX / 08+ STI X-Line Performance Radiator;1;Uni.;263,9585;263,96;263,96;0;263,96;0;0;263,96;684,82;;
Fatura-Recibo;2024ES/1593;;07/06/2024;Group Autoparts SL;ESB66283003;Espanha;;;;;;MMHOSE-STI-08BK;;MISHIMOTO 08-14 Subaru WRX / 08+ STI Silicone Radiator Hose Kit, Black;1;Uni.;46,774;46,77;46,77;0;46,77;0;0;46,77;731,59;;
Fatura-Recibo;2024ES/1593;;07/06/2024;Group Autoparts SL;ESB66283003;Espanha;;;;;;SHIPPING-ES-0-10;;SPAIN ( CONTINENTAL ) (0-10KG);2;Uni.;15;30;30;0;30;0;0;30;761,59;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024ES/1594;;07/06/2024;American Cars & Parts Dealers SL;ESB67084251;Espanha;;;Card;681,4;---;;;;;;;;681,4;0;681,4;0;0;681,4;206400,56;Joaquim Blume 19;
Fatura-Recibo;2024ES/1594;;07/06/2024;American Cars & Parts Dealers SL;ESB67084251;Espanha;;;;;;SHYC103;;Scorpion SHYC103 De-cat section;2;Uni.;201,955;403,91;403,91;0;403,91;0;0;403,91;403,91;;
Fatura-Recibo;2024ES/1594;;07/06/2024;American Cars & Parts Dealers SL;ESB67084251;Espanha;;;;;;CTS-IT-220R;;CTS TURBO 3? AIR INTAKE SYSTEM FOR MK6 GTI , SCIROCCO, EOS 1.8/2.0TSI EA888.1;1;Uni.;247,4925;247,49;247,49;0;247,49;0;0;247,49;651,4;;
Fatura-Recibo;2024ES/1594;;07/06/2024;American Cars & Parts Dealers SL;ESB67084251;Espanha;;;;;;SHIPPING-ES-0-10;;SPAIN ( CONTINENTAL ) (0-10KG);2;Uni.;15;30;30;0;30;0;0;30;681,4;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024ES/1595;;07/06/2024;OVERDRIVE PERFORMANCE;ES78914993S;Espanha;;;Card;469,99;---;;;;;;;;469,99;0;469,99;0;0;469,99;206870,55;Ribera de axpe 11, nave C2, pabellones 9 y 10.;
Fatura-Recibo;2024ES/1595;;07/06/2024;OVERDRIVE PERFORMANCE;ES78914993S;Espanha;;;;;;10.127.100K;;2.0 TFSI EA113 / MAZDA MPS AUTOTECH HIGH PRESSURE PUMP KIT;2;Uni.;227,4935;454,99;454,99;0;454,99;0;0;454,99;454,99;;
Fatura-Recibo;2024ES/1595;;07/06/2024;OVERDRIVE PERFORMANCE;ES78914993S;Espanha;;;;;;SHIPPING-ES-0-10;;SPAIN ( CONTINENTAL ) (0-10KG);1;Uni.;15;15;15;0;15;0;0;15;469,99;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024ES/1596;;07/06/2024;RJ Autoworks;ES33558767L;Espanha;;;Transferência Bancária;353,25;---;;;;;;;;353,25;0;353,25;0;0;353,25;207223,8;Calle Marinada n°16;
Fatura-Recibo;2024ES/1596;;07/06/2024;RJ Autoworks;ES33558767L;Espanha;;;;;;VWR1200R601E;;RacingLine Intake System / R600 EVO : Cotton Air Filter / MQB/MQBE;1;Uni.;338,247;338,25;338,25;0;338,25;0;0;338,25;338,25;;
Fatura-Recibo;2024ES/1596;;07/06/2024;RJ Autoworks;ES33558767L;Espanha;;;;;;SHIPPING-ES-0-10;;SPAIN ( CONTINENTAL ) (0-10KG);1;Uni.;15;15;15;0;15;0;0;15;353,25;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024ES/1597;;07/06/2024;FACTOR LAMBDA, SL;ESB67497925;Espanha;;;Card;328,1;---;;;;;;;;328,1;0;328,1;0;0;328,1;207551,9;Carrer vilar d'abdela nº3 nave 6;
Fatura-Recibo;2024ES/1597;;07/06/2024;FACTOR LAMBDA, SL;ESB67497925;Espanha;;;;;;KLC167A;;KLC167A - FRONT SWAY BAR - LINK KIT;1;Uni.;85,6115;85,61;85,61;0;85,61;0;0;85,61;85,61;;
Fatura-Recibo;2024ES/1597;;07/06/2024;FACTOR LAMBDA, SL;ESB67497925;Espanha;;;;;;10.127.100K;;2.0 TFSI EA113 / MAZDA MPS AUTOTECH HIGH PRESSURE PUMP KIT;1;Uni.;227,4935;227,49;227,49;0;227,49;0;0;227,49;313,1;;
Fatura-Recibo;2024ES/1597;;07/06/2024;FACTOR LAMBDA, SL;ESB67497925;Espanha;;;;;;SHIPPING-ES-0-10;;SPAIN ( CONTINENTAL ) (0-10KG);1;Uni.;15;15;15;0;15;0;0;15;328,1;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024ES/1598;;07/06/2024;Oppentech;ES72815006L;Espanha;;;Card;404,39;---;;;;;;;;404,39;0;404,39;0;0;404,39;207956,29;Carretera Belascoain 1 Navarra;
Fatura-Recibo;2024ES/1598;;07/06/2024;Oppentech;ES72815006L;Espanha;;;;;;238CLSDWABO-R;;PROSPORT 60MM BOOST GAUGE - WHITE / AMBER - BAR;2;Uni.;53,526;107,05;107,05;0;107,05;0;0;107,05;107,05;;
Fatura-Recibo;2024ES/1598;;07/06/2024;Oppentech;ES72815006L;Espanha;;;;;;MMHOSE-BRZ-13IBK;;MISHIMOTO 13-16 Subaru/Scion/Toyota BRZ/FR-S/86 Induction Hose, Black;1;Uni.;73,8335;73,83;73,83;0;73,83;0;0;73,83;180,88;;
Fatura-Recibo;2024ES/1598;;07/06/2024;Oppentech;ES72815006L;Espanha;;;;;;MMRAD-BRZ-13;;MISHIMOTO Subaru/Scion/Toyota BRZ/FR-S/86 Performance Radiator, 2013+;1;Uni.;189,5075;189,51;189,51;0;189,51;0;0;189,51;370,39;;
Fatura-Recibo;2024ES/1598;;07/06/2024;Oppentech;ES72815006L;Espanha;;;;;;SHIPPING-ES-0-10;;SPAIN ( CONTINENTAL ) (0-10KG);2;Uni.;15;30;30;0;30;0;0;30;400,39;;
Fatura-Recibo;2024ES/1598;;07/06/2024;Oppentech;ES72815006L;Espanha;;;;;;ccFee;;CREDIT CARD FEE;1;Uni.;4;4;4;0;4;0;0;4;404,39;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024ES/1599;;07/06/2024;SPARK ENGINEERING SL;ESB70550694;Espanha;;;Transferência Bancária;540,53;---;;;;;;;;540,53;0;540,53;0;0;540,53;208496,82;RUA COBRE - NAVE H13;
Fatura-Recibo;2024ES/1599;;07/06/2024;SPARK ENGINEERING SL;ESB70550694;Espanha;;;;;;VWR12G7R600ITBLA;;RacingLine Turbo Inlet Hose, Silicone / MQB / EA888.3 1.8 & 2.0 TSI / BLACK;2;Uni.;76,44;152,88;152,88;0;152,88;0;0;152,88;152,88;;
Fatura-Recibo;2024ES/1599;;07/06/2024;SPARK ENGINEERING SL;ESB70550694;Espanha;;;;;;VWR160001;;RacingLine Turbo Muffler Delete / MQB / EA888.3B 2.0 TSI MAF-sensor cars only;2;Uni.;85,995;171,99;171,99;0;171,99;0;0;171,99;324,87;;
Fatura-Recibo;2024ES/1599;;07/06/2024;SPARK ENGINEERING SL;ESB70550694;Espanha;;;;;;VWR12G7R600ITINLET;;RacingLine Turbo 90 Inlet / MQB / EA888.3 1.8 & 2.0 TSI;2;Uni.;100,331;200,66;200,66;0;200,66;0;0;200,66;525,53;;
Fatura-Recibo;2024ES/1599;;07/06/2024;SPARK ENGINEERING SL;ESB70550694;Espanha;;;;;;SHIPPING-ES-0-10;;SPAIN ( CONTINENTAL ) (0-10KG);1;Uni.;15;15;15;0;15;0;0;15;540,53;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024ES/1600;;07/06/2024;Street Racing Autos SL;ESB04886776;Espanha;;;Card;735,6;---;;;;;;;;735,6;0;735,6;0;0;735,6;209232,42;C/ Doctor Fleming nº15;
Fatura-Recibo;2024ES/1600;;07/06/2024;Street Racing Autos SL;ESB04886776;Espanha;;;;;;AC-MK7R-DP;;GOLF 7 R / S3 8V / LEON 3 CUPRA 4WD ALPHA COMPETITION DECAT DOWNPIPE;1;Uni.;185,994;185,99;185,99;0;185,99;0;0;185,99;185,99;;
Fatura-Recibo;2024ES/1600;;07/06/2024;Street Racing Autos SL;ESB04886776;Espanha;;;;;;VWR13G700;;RacingLine Oil Management Kit / MQB / EA888.3 1.8 & 2.0 TSI Catch Can Kit;1;Uni.;468,195;468,2;468,2;0;468,2;0;0;468,2;654,19;;
Fatura-Recibo;2024ES/1600;;07/06/2024;Street Racing Autos SL;ESB04886776;Espanha;;;;;;VWR13G700RFK;;RacingLine Remote Washer Fluid Fill Kit / Golf 7R & Audi S3 8V (for use with Oil Management Kit VWR13G700);1;Uni.;46,41;46,41;46,41;0;46,41;0;0;46,41;700,6;;
Fatura-Recibo;2024ES/1600;;07/06/2024;Street Racing Autos SL;ESB04886776;Espanha;;;;;;SHIPPING-ES-10-30;;SPAIN ( CONTINENTAL ) (10-30KG);1;Uni.;20;20;20;0;20;0;0;20;720,6;;
Fatura-Recibo;2024ES/1600;;07/06/2024;Street Racing Autos SL;ESB04886776;Espanha;;;;;;SHIPPING-ES-0-10;;SPAIN ( CONTINENTAL ) (0-10KG);1;Uni.;15;15;15;0;15;0;0;15;735,6;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024ES/1601;;07/06/2024;American Cars & Parts Dealers SL;ESB67084251;Espanha;;;Card;107,68;---;;;;;;;;107,68;0;107,68;0;0;107,68;209340,1;carrer mestre pedrell, 6;
Fatura-Recibo;2024ES/1601;;07/06/2024;American Cars & Parts Dealers SL;ESB67084251;Espanha;;;;;;AC-18FW-DP;;GOLF 4 GTI / LEON 1M / TT 8N 1.8T ALPHA COMPETITION DECAT DOWNPIPE;1;Uni.;92,676;92,68;92,68;0;92,68;0;0;92,68;92,68;;
Fatura-Recibo;2024ES/1601;;07/06/2024;American Cars & Parts Dealers SL;ESB67084251;Espanha;;;;;;SHIPPING-ES-0-10;;SPAIN ( CONTINENTAL ) (0-10KG);1;Uni.;15;15;15;0;15;0;0;15;107,68;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024ES/1602;;07/06/2024;American Cars & Parts Dealers SL;ESB67084251;Espanha;;;Card;86,98;---;;;;;;;;86,98;0;86,98;0;0;86,98;209427,08;Marqués de Casa Blanca 22;
Fatura-Recibo;2024ES/1602;;07/06/2024;American Cars & Parts Dealers SL;ESB67084251;Espanha;;;;;;AC-MK7-CP-BL;;ALPHA COMPETITION IGNITION COIL 2.0T EA888.3 / 2.5T EVO / 2.9T - 3.0T EA839 - BLUE;4;Uni.;17,994;71,98;71,98;0;71,98;0;0;71,98;71,98;;
Fatura-Recibo;2024ES/1602;;07/06/2024;American Cars & Parts Dealers SL;ESB67084251;Espanha;;;;;;SHIPPING-ES-0-10;;SPAIN ( CONTINENTAL ) (0-10KG);1;Uni.;15;15;15;0;15;0;0;15;86,98;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fatura-Recibo;2024ES/1603;;07/06/2024;ANCustoms Motorsport;ES38873546G;Espanha;;;Transferência Bancária;367,98;---;;;;;;;;367,98;0;367,98;0;0;367,98;209795,06;C/Barcelona, 12;
Fatura-Recibo;2024ES/1603;;07/06/2024;ANCustoms Motorsport;ES38873546G;Espanha;;;;;;SRNC032;;Scorpion SRNC032 De-cat/GPF delete downpipe;1;Uni.;195,195;195,2;195,2;0;195,2;0;0;195,2;195,2;;
Fatura-Recibo;2024ES/1603;;07/06/2024;ANCustoms Motorsport;ES38873546G;Espanha;;;;;;MMOCC-SA;;MISHIMOTO Aluminum Oil Catch Can - Small, Silver;1;Uni.;78,7605;78,76;78,76;0;78,76;0;0;78,76;273,96;;
Fatura-Recibo;2024ES/1603;;07/06/2024;ANCustoms Motorsport;ES38873546G;Espanha;;;;;;216BFWAOPSM;;PROSPORT 52MM OIL PRESSURE GAUGE - WHITE/AMBER - BAR;1;Uni.;34,386;34,39;34,39;0;34,39;0;0;34,39;308,35;;
Fatura-Recibo;2024ES/1603;;07/06/2024;ANCustoms Motorsport;ES38873546G;Espanha;;;;;;216BFWAOTSM;;PROSPORT  52MM OIL TEMP GAUGE - WHITE/AMBER - °C;1;Uni.;29,634;29,63;29,63;0;29,63;0;0;29,63;337,98;;
Fatura-Recibo;2024ES/1603;;07/06/2024;ANCustoms Motorsport;ES38873546G;Espanha;;;;;;SHIPPING-ES-0-10;;SPAIN ( CONTINENTAL ) (0-10KG);2;Uni.;15;30;30;0;30;0;0;30;367,98;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
